movie,variable,mean,std,min,max
movie_1,tension_level,3.877551020408163,1.2718723633373783,1.0,5.0
movie_1,stakes_level,4.040816326530612,1.1421280473169977,1.0,5.0
movie_1,irreversibility_level,3.1020408163265305,1.2494063563276707,1.0,5.0
movie_1,uncertainty_level,3.5918367346938775,1.2108079162605165,1.0,5.0
movie_1,narrative_velocity,3.1020408163265305,1.249406356327671,1.0,5.0
movie_1,dependency_on_prior_scenes,4.326530612244898,0.9343284197762937,1.0,5.0
movie_1,resolution_progress,5.795918367346939,13.882862128945,0.0,100.0
movie_10,tension_level,3.539568345323741,1.4507065361271418,1.0,5.0
movie_10,stakes_level,3.6906474820143886,1.2685964649324006,1.0,5.0
movie_10,irreversibility_level,2.676258992805755,1.368798387801471,1.0,5.0
movie_10,uncertainty_level,3.194244604316547,1.3511396619934941,1.0,5.0
movie_10,narrative_velocity,2.5323741007194243,1.2191644636984194,1.0,5.0
movie_10,dependency_on_prior_scenes,4.280575539568345,0.8399107264861162,1.0,5.0
movie_10,resolution_progress,6.489208633093525,18.281321562698206,0.0,100.0
movie_2,tension_level,3.537313432835821,1.385730673245989,1.0,5.0
movie_2,stakes_level,3.716417910447761,0.9743879847134008,1.0,5.0
movie_2,irreversibility_level,2.7761194029850746,1.4017142545521073,1.0,5.0
movie_2,uncertainty_level,3.4328358208955225,1.1746562608925968,1.0,5.0
movie_2,narrative_velocity,2.671641791044776,1.0277937492947353,1.0,5.0
movie_2,dependency_on_prior_scenes,4.343283582089552,0.8204883657841643,1.0,5.0
movie_2,resolution_progress,3.985074626865672,4.013010695871255,0.0,18.0
movie_3,tension_level,3.5618556701030926,1.3655513820823533,1.0,5.0
movie_3,stakes_level,3.618556701030928,1.311670839469602,1.0,5.0
movie_3,irreversibility_level,2.649484536082474,1.3124403736158645,1.0,5.0
movie_3,uncertainty_level,3.329896907216495,1.2861005514916537,1.0,5.0
movie_3,narrative_velocity,2.6082474226804124,1.2440099862937244,1.0,5.0
movie_3,dependency_on_prior_scenes,4.015463917525773,1.109828649000085,1.0,5.0
movie_3,resolution_progress,3.6649484536082473,4.943610710099763,0.0,35.0
movie_4,tension_level,2.8686131386861313,1.4788904809748036,1.0,5.0
movie_4,stakes_level,2.8905109489051095,1.4732596171466719,1.0,5.0
movie_4,irreversibility_level,2.1313868613138687,1.3924589301793193,1.0,5.0
movie_4,uncertainty_level,2.795620437956204,1.362365301083703,1.0,5.0
movie_4,narrative_velocity,1.8832116788321167,1.0945498253417134,1.0,5.0
movie_4,dependency_on_prior_scenes,3.8248175182481754,1.1392007072381685,1.0,5.0
movie_4,resolution_progress,1.6131386861313868,1.7561079027689663,0.0,9.0
movie_5,tension_level,4.060344827586207,1.1468757644248004,1.0,5.0
movie_5,stakes_level,3.9913793103448274,1.1333174499364946,1.0,5.0
movie_5,irreversibility_level,2.956896551724138,1.3351497486676989,1.0,5.0
movie_5,uncertainty_level,3.7155172413793105,1.173015819062855,1.0,5.0
movie_5,narrative_velocity,2.9655172413793105,1.3450486113684197,1.0,5.0
movie_5,dependency_on_prior_scenes,4.2155172413793105,0.9541744444242832,1.0,5.0
movie_5,resolution_progress,4.008620689655173,3.663651112867234,0.0,18.0
movie_6,tension_level,2.6666666666666665,1.4417463295019963,1.0,5.0
movie_6,stakes_level,2.7743589743589743,1.4034240086518708,1.0,5.0
movie_6,irreversibility_level,1.994871794871795,1.3067769546500545,1.0,5.0
movie_6,uncertainty_level,2.6615384615384614,1.4529572645550435,1.0,5.0
movie_6,narrative_velocity,1.564102564102564,0.8651329168628247,1.0,5.0
movie_6,dependency_on_prior_scenes,3.394871794871795,1.317719225754265,1.0,5.0
movie_6,resolution_progress,2.2564102564102564,3.1322798178532363,0.0,22.0
movie_7,tension_level,3.7241379310344827,1.238182345700711,1.0,5.0
movie_7,stakes_level,3.781609195402299,1.207498481532772,1.0,5.0
movie_7,irreversibility_level,2.67816091954023,1.3771055174854283,1.0,5.0
movie_7,uncertainty_level,3.264367816091954,1.0981674402295345,1.0,5.0
movie_7,narrative_velocity,2.67816091954023,1.0880146727539524,1.0,5.0
movie_7,dependency_on_prior_scenes,3.9655172413793105,1.087528843449643,1.0,5.0
movie_7,resolution_progress,2.5977011494252875,2.276616617051093,0.0,10.0
movie_8,tension_level,3.875,1.188674231474473,1.0,5.0
movie_8,stakes_level,3.8839285714285716,0.9705073757197987,1.0,5.0
movie_8,irreversibility_level,2.794642857142857,1.363676705881297,1.0,5.0
movie_8,uncertainty_level,3.705357142857143,1.1850135084909887,1.0,5.0
movie_8,narrative_velocity,2.794642857142857,1.1428222650927995,1.0,5.0
movie_8,dependency_on_prior_scenes,3.9017857142857144,1.1016207331908376,1.0,5.0
movie_8,resolution_progress,2.5982142857142856,2.5824262588993827,0.0,13.0
movie_9,tension_level,3.411042944785276,1.4043318667682423,1.0,5.0
movie_9,stakes_level,3.5337423312883436,1.353397037446439,1.0,5.0
movie_9,irreversibility_level,2.7423312883435584,1.4037153026822176,1.0,5.0
movie_9,uncertainty_level,3.0552147239263805,1.2197331184623967,1.0,5.0
movie_9,narrative_velocity,2.147239263803681,1.1199974191159783,1.0,5.0
movie_9,dependency_on_prior_scenes,3.8895705521472395,1.145844104265525,1.0,5.0
movie_9,resolution_progress,2.104294478527607,2.2087764064965687,0.0,16.0
